Timestamp,CPU_Percent,Memory_Percent,Disk_Percent
2025-02-28 00:43:16,39.8,82.5,42.3
2025-02-28 00:43:27,58.9,82.2,42.3
2025-02-28 00:43:38,61.9,82.5,42.3
2025-02-28 00:43:49,51.2,82.7,42.3
2025-02-28 00:44:00,51.4,83.0,42.3
2025-02-28 00:44:11,38.7,82.9,42.3
2025-02-28 00:44:22,28.6,82.4,42.3
2025-02-28 00:44:33,31.5,82.4,42.3
2025-02-28 00:44:44,28.8,82.6,42.3
2025-02-28 00:44:55,28.2,82.1,42.3
2025-02-28 00:45:06,41.1,82.2,42.3
2025-02-28 00:45:17,38.5,83.7,42.3
2025-02-28 00:45:28,33.0,83.4,42.3
2025-02-28 00:45:39,32.6,83.4,42.3
2025-02-28 00:45:50,33.6,83.3,42.3
2025-02-28 00:46:01,25.4,83.0,42.3
2025-02-28 00:46:12,58.0,81.8,42.3
2025-02-28 00:46:23,30.2,81.3,42.3
2025-02-28 00:46:34,37.8,81.2,42.3
2025-02-28 00:46:45,34.4,81.4,42.3
2025-02-28 00:46:56,32.6,81.3,42.3
2025-02-28 00:47:07,26.3,81.3,42.3
2025-02-28 00:47:18,38.9,81.3,42.3
2025-02-28 00:47:29,34.2,81.5,42.3
2025-02-28 00:47:40,31.9,81.5,42.3
2025-02-28 00:47:51,27.9,82.0,42.3
2025-02-28 00:48:02,29.4,82.1,42.3
2025-02-28 00:48:13,28.4,82.2,42.3
2025-02-28 00:48:24,50.0,82.0,42.3
2025-02-28 00:48:35,34.0,82.0,42.3
2025-02-28 00:48:46,30.7,81.8,42.3
2025-02-28 00:48:57,41.0,81.8,42.3
2025-02-28 00:49:08,29.4,81.8,42.3
2025-02-28 00:49:19,21.5,81.4,42.3
2025-02-28 00:49:30,44.2,81.6,42.3
2025-02-28 00:49:41,29.9,81.5,42.3
2025-02-28 00:49:52,25.1,81.6,42.3
2025-02-28 00:50:03,36.7,83.9,42.3
2025-02-28 00:50:14,49.8,83.8,42.3
2025-02-28 00:50:25,30.2,83.2,42.3
2025-02-28 00:50:36,47.1,83.3,42.3
2025-02-28 00:50:47,32.5,83.1,42.3
2025-02-28 00:50:58,52.6,83.1,42.3
2025-02-28 00:51:09,43.3,82.3,42.3
2025-02-28 00:51:20,55.6,81.2,42.3
2025-02-28 00:51:31,38.9,81.2,42.3
2025-02-28 00:51:42,36.8,81.2,42.3
2025-02-28 00:51:53,43.3,81.6,42.3
2025-02-28 00:52:04,54.9,82.5,42.3
2025-02-28 00:52:15,57.5,82.6,42.3
2025-02-28 00:52:26,53.5,82.6,42.3
2025-02-28 00:52:37,45.2,82.7,42.3
2025-02-28 00:52:48,54.9,83.3,42.3
2025-02-28 00:52:59,51.8,85.7,42.3
2025-02-28 00:53:10,47.8,85.0,42.3
2025-02-28 00:53:21,47.1,85.1,42.3
2025-02-28 00:53:33,49.7,87.7,42.3
2025-02-28 00:53:44,64.5,85.2,42.3
2025-02-28 00:53:55,55.9,86.0,42.3
2025-02-28 00:54:06,90.1,88.5,42.3
